Timestamp,RTT (ms)
1750245377,17.915
1750245378,38.669
1750245379,17.105
1750245380,20.365
1750245381,14.731
1750245382,19.977
1750245383,19.527
1750245384,24.194
1750245385,22.606
1750245386,32.918
1750245387,16.572
1750245388,18.882
1750245389,18.31
1750245390,27.506
1750245391,38.851
1750245392,27.346
1750245393,25.439
1750245394,40.459
1750245395,37.143
1750245396,17.72
1750245397,33.092
1750245398,36.539
1750245399,30.609
1750245400,39.529
1750245401,23.271
1750245402,24.89
1750245403,24.097
1750245404,23.687
1750245405,15.478
1750245406,22.973
1750245407,15.426
1750245408,15.911
1750245409,28.938
1750245410,20.588
1750245411,25.402
1750245413,27.482
1750245414,35.577
1750245417,16.272
1750245423,24.89
1750245427,60
1750245428,60
1750245430,18.867
1750245432,16.359
1750245435,66.537
1750245442,27.047
1750245449,22.217
1750245453,60
1750245454,56.89
1750245455,43.988
1750245456,19.961
1750245457,32.407
1750245458,31.34
1750245459,28.348
1750245460,60.116
1750245461,17.969
1750245464,25.737
1750245465,33.443
1750245466,31.959
1750245467,95.584
1750245469,18.606
1750245470,26.941
1750245471,15.59
1750245473,53.142
1750245474,15.072
1750245475,31.68
1750245477,35.498
1750245478,23.887
1750245479,21.412
1750245481,28.37
1750245482,26.235
1750245485,21.328
1750245486,22.851
1750245488,44.791
1750245490,22.828
1750245491,38.314
1750245494,18.562
1750245495,20.96
1750245497,23.403
1750245500,31.964
1750245501,16.533
1750245502,19.646
1750245504,33.259
1750245507,91.323
1750245508,33.541
1750245509,14.974
1750245510,58.196
1750245511,17.667
1750245512,60
1750245514,107.376
1750245515,86.824
1750245516,47.896
1750245517,78.248
1750245518,52.205
1750245519,22.143
1750245520,18.064
1750245521,15.131
1750245532,15.699
1750245535,15.173
1750245541,19.038
1750245544,16.429
1750245550,17.449
1750245551,18.553
1750245557,17.839
1750245560,15.288
1750245569,19.597
1750245572,14.597
1750245576,21.746
1750245581,20.151
1750245587,15.747
1750245593,16.532
1750245598,20.61
1750245599,15.545
1750245601,15.098
1750245603,14.146
1750245606,14.95
1750245607,14.809
1750245610,14.758
1750245611,15.422
1750245615,14.557
1750245616,15.899
1750245620,15.788
1750245625,15.56
1750245630,17.075
1750245631,17.91
1750245635,15.183
1750245638,16.263
1750245646,19.408
1750245648,15.514
1750245649,15.699
1750245651,23.491
1750245652,60.349
1750245655,18.567
1750245658,18.554
1750245661,45.953
1750245666,24.94
1750245668,17.261
1750245670,20.626
1750245672,27.173
1750245673,66.445
1750245674,79.203
1750245677,19.162
1750245679,25.582
1750245682,24.734
1750245683,15.561
1750245685,38.091
1750245687,28.545
1750245689,37.651
1750245690,36.585
1750245692,16.921
1750245693,30.554
1750245694,39.671
1750245696,18.098
1750245698,17.137
1750245699,33.646
1750245700,76.91
1750245701,40.59
1750245702,18.744
1750245707,71.694
1750245712,31.86
1750245720,40.835
1750245725,22.07
1750245729,24.537
1750245731,20.588
1750245733,70.755
1750245738,49.929
1750245743,30.753
1750245744,27.359
1750245750,26.344
1750245752,22.557
1750245753,20.84
1750245756,21.039
1750245761,17.904
1750245764,38.137
1750245768,17.192
1750245772,23.01
1750245775,16.442
1750245776,23.595
1750245777,26.34
